Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s)
0.02,176.0,23.0,-31.0,1002.0,0.0
0.06,177.0,19.0,-27.0,982.0,0.007455599999999999
0.46,178.0,35.0,-23.0,986.0,0.14479560000000002
0.46,178.0,35.0,-23.0,986.0,0.0
0.46,178.0,35.0,-23.0,986.0,0.0
0.48,178.0,19.0,-27.0,982.0,0.003727799999999993
0.5,177.0,31.0,-27.0,994.0,0.00981
0.54,178.0,27.0,-31.0,990.0,0.020404800000000008
0.56,179.0,35.0,-15.0,990.0,0.027271800000000013
0.58,178.0,27.0,-27.0,994.0,0.032569199999999986
0.6,178.0,27.0,-23.0,994.0,0.037866599999999986
0.6,178.0,27.0,-23.0,994.0,0.0
0.62,178.0,31.0,-27.0,990.0,0.0060822000000000055
0.62,178.0,31.0,-27.0,990.0,0.0
0.64,175.0,31.0,-27.0,990.0,0.0060822000000000055
0.66,176.0,35.0,-19.0,994.0,0.012949200000000011
0.68,176.0,42.0,-15.0,994.0,0.02118960000000002
0.7,176.0,35.0,-23.0,986.0,0.028056599999999987
0.72,176.0,31.0,-23.0,990.0,0.03413879999999999
0.74,176.0,27.0,-23.0,990.0,0.03943619999999999
0.76,175.0,35.0,-31.0,990.0,0.046303199999999996
0.78,176.0,31.0,-31.0,994.0,0.0523854
0.8,176.0,23.0,-27.0,994.0,0.056898000000000004
0.82,175.0,35.0,-31.0,986.0,0.06376499999999997
0.84,176.0,23.0,-31.0,994.0,0.06827759999999998
0.86,177.0,31.0,-31.0,994.0,0.07435979999999999
0.88,178.0,27.0,-19.0,998.0,0.0796572
0.9,178.0,19.0,-23.0,998.0,0.083385
0.92,178.0,31.0,-23.0,994.0,0.08946720000000001
0.94,178.0,23.0,-27.0,994.0,0.09397979999999999
0.96,179.0,27.0,-27.0,990.0,0.0992772
0.98,178.0,31.0,-27.0,994.0,0.1053594
1.0,178.0,19.0,-15.0,990.0,0.10908720000000001
1.02,179.0,35.0,-19.0,994.0,0.11595420000000002
1.04,178.0,31.0,-27.0,994.0,0.12203640000000003
1.06,178.0,31.0,-23.0,990.0,0.12811860000000003
1.08,176.0,31.0,-27.0,990.0,0.13420080000000004
1.1,176.0,23.0,-27.0,990.0,0.13871340000000004
1.12,176.0,39.0,-27.0,990.0,0.14636520000000006
1.14,175.0,31.0,-31.0,990.0,0.15244739999999998
1.16,175.0,27.0,-27.0,994.0,0.1577448
1.18,176.0,39.0,-27.0,986.0,0.1653966
1.2,176.0,39.0,-31.0,990.0,0.17304840000000002
1.22,176.0,23.0,-23.0,990.0,0.17756100000000002
1.24,176.0,35.0,-19.0,994.0,0.18442800000000004
1.26,176.0,19.0,-23.0,990.0,0.18815580000000004
1.28,175.0,27.0,-23.0,986.0,0.19345320000000005
1.3,177.0,31.0,-27.0,986.0,0.19953540000000006
1.32,177.0,27.0,-23.0,994.0,0.20483280000000006
1.34,177.0,35.0,-27.0,998.0,0.21169980000000008
1.36,177.0,31.0,-27.0,994.0,0.2177820000000001
1.38,177.0,31.0,-23.0,994.0,0.2238642
1.4,177.0,27.0,-31.0,998.0,0.22916160000000002
1.42,177.0,27.0,-27.0,994.0,0.23445900000000003
1.44,178.0,35.0,-27.0,994.0,0.24132600000000004
1.46,177.0,35.0,-31.0,990.0,0.24819300000000005
1.48,177.0,19.0,-27.0,1002.0,0.25192080000000006
1.5,176.0,39.0,-23.0,982.0,0.25957260000000004
1.52,177.0,27.0,-23.0,990.0,0.26487000000000005
1.54,176.0,27.0,-31.0,990.0,0.27016740000000006
1.56,176.0,42.0,-19.0,990.0,0.2784078000000001
1.58,176.0,27.0,-23.0,994.0,0.2837052000000001
1.6,177.0,35.0,-27.0,990.0,0.2905722000000001
1.62,177.0,31.0,-23.0,986.0,0.2966544000000001
1.64,176.0,35.0,-31.0,990.0,0.30352140000000005
1.66,177.0,35.0,-23.0,982.0,0.31038840000000006
1.68,177.0,23.0,-31.0,1006.0,0.31490100000000004
1.7,178.0,31.0,-27.0,994.0,0.3209832
1.72,177.0,35.0,-27.0,990.0,0.32785020000000004
1.74,177.0,23.0,-27.0,998.0,0.3323628
1.76,177.0,35.0,-27.0,986.0,0.3392298
1.78,177.0,27.0,-23.0,994.0,0.34452720000000003
1.8,177.0,31.0,-27.0,982.0,0.3506094
1.82,177.0,35.0,-19.0,986.0,0.3574764
1.84,177.0,23.0,-27.0,998.0,0.361989
1.86,177.0,35.0,-31.0,998.0,0.368856
1.88,176.0,31.0,-27.0,986.0,0.37493819999999994
1.9,176.0,23.0,-23.0,998.0,0.3794507999999999
1.92,178.0,35.0,-35.0,986.0,0.38631779999999993
1.94,177.0,23.0,-27.0,986.0,0.3908303999999999
1.96,177.0,27.0,-27.0,990.0,0.3961277999999999
1.98,176.0,31.0,-23.0,982.0,0.4022099999999999
2.0,177.0,23.0,-27.0,990.0,0.4067225999999999
2.02,178.0,35.0,-19.0,994.0,0.4135895999999999
2.04,177.0,27.0,-19.0,994.0,0.4188869999999999
2.06,177.0,27.0,-23.0,1002.0,0.4241843999999999
2.08,177.0,35.0,-23.0,990.0,0.4310513999999999
2.1,177.0,19.0,-35.0,990.0,0.4347791999999999
2.12,177.0,42.0,-27.0,990.0,0.44301959999999996
2.14,176.0,35.0,-31.0,990.0,0.44988659999999997
2.16,177.0,27.0,-27.0,998.0,0.455184
2.18,177.0,35.0,-27.0,986.0,0.462051
2.2,177.0,31.0,-19.0,986.0,0.46813319999999997
2.22,177.0,35.0,-27.0,998.0,0.4750002
2.24,177.0,35.0,-23.0,994.0,0.4818672
2.26,177.0,27.0,-23.0,990.0,0.4871645999999999
2.28,177.0,31.0,-23.0,994.0,0.4932467999999999
2.3,177.0,35.0,-27.0,994.0,0.5001137999999998
2.32,177.0,31.0,-27.0,994.0,0.5061959999999999
2.34,177.0,31.0,-23.0,990.0,0.5122781999999999
2.36,177.0,23.0,-27.0,990.0,0.5167907999999999
2.38,176.0,23.0,-19.0,990.0,0.5213033999999999
2.4,177.0,35.0,-23.0,994.0,0.5281703999999998
2.42,177.0,31.0,-35.0,986.0,0.5342525999999999
2.44,176.0,15.0,-23.0,994.0,0.5371955999999999
2.46,177.0,27.0,-31.0,998.0,0.5424929999999999
2.48,177.0,27.0,-27.0,994.0,0.5477903999999999
2.5,177.0,35.0,-27.0,990.0,0.5546573999999999
2.52,177.0,27.0,-23.0,994.0,0.5599547999999999
2.54,176.0,31.0,-27.0,990.0,0.5660369999999999
2.56,176.0,27.0,-27.0,986.0,0.5713343999999999
2.58,177.0,31.0,-27.0,998.0,0.5774166
2.6,176.0,35.0,-19.0,990.0,0.5842835999999999
2.62,177.0,27.0,-27.0,994.0,0.5895809999999999
2.64,176.0,35.0,-23.0,990.0,0.5964479999999999
2.66,177.0,31.0,-27.0,986.0,0.6025301999999999
2.68,177.0,35.0,-27.0,986.0,0.6093971999999999
2.7,176.0,39.0,-27.0,986.0,0.6170489999999998
2.72,177.0,27.0,-31.0,986.0,0.6223463999999999
2.74,177.0,27.0,-27.0,994.0,0.6276437999999999
2.76,176.0,31.0,-31.0,986.0,0.6337259999999997
2.78,176.0,27.0,-23.0,994.0,0.6390233999999997
2.8,177.0,31.0,-27.0,990.0,0.6451055999999997
2.82,177.0,31.0,-23.0,998.0,0.6511877999999998
2.84,177.0,27.0,-31.0,994.0,0.6564851999999998
2.86,177.0,31.0,-27.0,990.0,0.6625673999999998
2.88,176.0,27.0,-31.0,990.0,0.6678647999999998
2.9,177.0,31.0,-27.0,990.0,0.6739469999999999
2.92,177.0,42.0,-23.0,986.0,0.6821873999999999
2.94,177.0,23.0,-27.0,1006.0,0.6866999999999999
2.96,177.0,35.0,-27.0,998.0,0.6935669999999998
2.98,177.0,27.0,-27.0,994.0,0.6988643999999998
3.0,177.0,23.0,-19.0,1002.0,0.7033769999999998
3.02,177.0,35.0,-31.0,978.0,0.7102439999999998
3.04,176.0,19.0,-27.0,998.0,0.7139717999999997
3.06,177.0,31.0,-19.0,998.0,0.7200539999999997
3.08,177.0,42.0,-19.0,986.0,0.7282943999999998
3.1,177.0,23.0,-27.0,998.0,0.7328069999999998
3.12,177.0,39.0,-35.0,990.0,0.7404587999999998
3.14,177.0,31.0,-27.0,990.0,0.7465409999999998
3.16,177.0,31.0,-23.0,994.0,0.7526231999999998
3.18,177.0,31.0,-35.0,982.0,0.7587053999999999
3.2,177.0,27.0,-23.0,986.0,0.7640027999999999
3.22,176.0,31.0,-23.0,1002.0,0.7700849999999999
3.24,177.0,31.0,-27.0,990.0,0.7761672
3.26,177.0,31.0,-23.0,994.0,0.7822493999999998
3.28,176.0,27.0,-23.0,994.0,0.7875467999999998
3.3,177.0,23.0,-31.0,994.0,0.7920593999999997
3.32,176.0,27.0,-19.0,986.0,0.7973567999999998
3.34,178.0,27.0,-31.0,998.0,0.8026541999999998
3.36,178.0,15.0,-27.0,994.0,0.8055971999999998
3.38,177.0,31.0,-27.0,990.0,0.8116793999999998
3.4,177.0,31.0,-27.0,990.0,0.8177615999999999
3.42,176.0,19.0,-27.0,990.0,0.8214893999999999
3.44,177.0,35.0,-19.0,986.0,0.8283563999999999
3.46,178.0,23.0,-27.0,994.0,0.8328689999999999
3.48,176.0,31.0,-27.0,990.0,0.8389511999999999
3.5,177.0,39.0,-27.0,986.0,0.8466029999999999
3.52,177.0,27.0,-35.0,994.0,0.8519003999999999
3.54,178.0,35.0,-23.0,994.0,0.8587673999999998
3.56,178.0,27.0,-23.0,990.0,0.8640647999999999
3.58,177.0,27.0,-23.0,990.0,0.8693621999999999
3.6,178.0,27.0,-31.0,986.0,0.8746595999999999
3.62,178.0,31.0,-19.0,994.0,0.8807417999999999
3.64,179.0,27.0,-19.0,990.0,0.8860391999999999
3.66,179.0,27.0,-23.0,990.0,0.8913365999999999
3.68,178.0,27.0,-27.0,998.0,0.8966339999999999
3.7,177.0,31.0,-27.0,994.0,0.9027162
3.72,177.0,31.0,-19.0,986.0,0.9087984
3.74,177.0,27.0,-27.0,986.0,0.9140958
3.76,177.0,31.0,-19.0,986.0,0.9201779999999998
3.78,177.0,27.0,-27.0,986.0,0.9254753999999998
3.8,177.0,31.0,-27.0,990.0,0.9315575999999999
3.82,177.0,27.0,-27.0,986.0,0.9368549999999999
3.84,177.0,27.0,-23.0,998.0,0.9421523999999999
3.86,177.0,35.0,-27.0,990.0,0.9490193999999998
3.88,176.0,35.0,-19.0,994.0,0.9558863999999998
3.9,176.0,27.0,-27.0,998.0,0.9611837999999998
3.92,176.0,35.0,-27.0,990.0,0.9680507999999998
3.94,178.0,31.0,-23.0,986.0,0.9741329999999998
3.96,177.0,27.0,-27.0,990.0,0.9794303999999998
3.98,178.0,31.0,-27.0,982.0,0.9855125999999998
4.0,178.0,19.0,-23.0,994.0,0.9892403999999999
4.02,178.0,23.0,-27.0,990.0,0.9937529999999998
4.04,178.0,27.0,-19.0,994.0,0.9990503999999999
4.06,177.0,27.0,-27.0,990.0,1.0043477999999997
4.08,177.0,31.0,-35.0,994.0,1.0104299999999997
4.1,177.0,19.0,-31.0,994.0,1.0141577999999996
4.12,178.0,31.0,-27.0,994.0,1.0202399999999996
4.14,178.0,31.0,-27.0,959.0,1.0263221999999994
4.16,176.0,27.0,-27.0,990.0,1.0316195999999995
4.18,177.0,27.0,-23.0,994.0,1.0369169999999994
4.2,177.0,23.0,-23.0,986.0,1.0414295999999996
4.22,178.0,35.0,-31.0,998.0,1.0482965999999996
4.24,176.0,23.0,-31.0,994.0,1.0528091999999998
4.26,177.0,27.0,-23.0,990.0,1.0581065999999997
4.28,177.0,31.0,-27.0,994.0,1.0641887999999997
4.3,177.0,23.0,-19.0,998.0,1.0687013999999997
4.32,177.0,27.0,-31.0,986.0,1.0739987999999998
4.34,177.0,31.0,-31.0,994.0,1.0800809999999996
4.36,177.0,27.0,-19.0,982.0,1.0853783999999997
4.38,177.0,35.0,-19.0,994.0,1.0922453999999997
4.4,178.0,23.0,-27.0,990.0,1.096758
4.42,178.0,31.0,-23.0,994.0,1.1028401999999997
4.44,178.0,39.0,-23.0,986.0,1.1104919999999998
4.46,178.0,19.0,-23.0,986.0,1.1142197999999996
4.48,178.0,39.0,-27.0,990.0,1.1218715999999997
4.5,178.0,27.0,-27.0,986.0,1.1271689999999996
4.52,178.0,27.0,-19.0,994.0,1.1324663999999995
4.54,178.0,35.0,-31.0,986.0,1.1393333999999997
4.58,178.0,35.0,-27.0,978.0,1.1530673999999996
4.6,177.0,35.0,-31.0,990.0,1.1599343999999996
4.62,177.0,23.0,-31.0,998.0,1.1644469999999998
4.62,177.0,23.0,-31.0,998.0,0.0
4.62,177.0,23.0,-31.0,998.0,0.0
4.62,177.0,23.0,-31.0,998.0,0.0
4.62,177.0,23.0,-31.0,998.0,0.0
4.64,177.0,35.0,-27.0,986.0,0.006866999999999854
4.66,177.0,27.0,-23.0,998.0,0.012164399999999976
6.12,177.0,27.0,-27.0,990.0,0.39887459999999997
6.14,177.0,23.0,-31.0,994.0,0.4033871999999999
6.16,177.0,31.0,-27.0,994.0,0.40946940000000004
6.18,177.0,35.0,-23.0,994.0,0.4163363999999999
6.2,177.0,31.0,-27.0,994.0,0.42241860000000003
6.2,177.0,31.0,-27.0,994.0,0.0
6.22,177.0,35.0,-31.0,986.0,0.006866999999999854
6.22,177.0,35.0,-31.0,986.0,0.0
6.24,178.0,19.0,-19.0,990.0,0.003727800000000086
6.26,178.0,31.0,-23.0,990.0,0.009809999999999956
6.28,176.0,27.0,-31.0,986.0,0.015107400000000078
6.3,177.0,23.0,-31.0,994.0,0.01961999999999998
6.32,177.0,27.0,-23.0,990.0,0.024917400000000103
6.34,177.0,23.0,-23.0,994.0,0.029430000000000008
6.36,177.0,27.0,-15.0,994.0,0.03472740000000013
6.38,177.0,35.0,-23.0,998.0,0.04159439999999998
6.4,177.0,31.0,-27.0,994.0,0.047676600000000124
6.42,177.0,35.0,-23.0,986.0,0.05454359999999998
6.44,176.0,31.0,-27.0,986.0,0.06062580000000012
6.46,177.0,23.0,-23.0,994.0,0.06513840000000003
6.48,178.0,31.0,-19.0,986.0,0.07122060000000016
6.5,177.0,27.0,-19.0,986.0,0.07651800000000004
6.52,176.0,27.0,-19.0,994.0,0.08181539999999993
6.54,177.0,35.0,-27.0,986.0,0.08868240000000009
6.56,176.0,23.0,-31.0,994.0,0.093195
6.58,176.0,27.0,-27.0,990.0,0.09849240000000012
6.6,177.0,23.0,-23.0,990.0,0.10300500000000003
6.62,177.0,31.0,-27.0,994.0,0.10908720000000016
6.64,176.0,31.0,-23.0,994.0,0.11516940000000003
6.66,177.0,27.0,-27.0,990.0,0.12046680000000015
6.68,177.0,27.0,-35.0,990.0,0.12576420000000005
6.7,177.0,31.0,-27.0,994.0,0.1318464000000002
6.72,176.0,23.0,-27.0,990.0,0.1363590000000001
6.74,176.0,42.0,-31.0,990.0,0.1445994000000003
6.76,177.0,31.0,-31.0,994.0,0.15068160000000017
6.78,177.0,23.0,-31.0,998.0,0.15519420000000028
6.8,177.0,39.0,-19.0,986.0,0.16284600000000013
6.82,178.0,19.0,-19.0,994.0,0.16657380000000022
6.84,178.0,35.0,-31.0,994.0,0.17344080000000006
6.86,177.0,35.0,-27.0,990.0,0.1803078000000002
6.88,176.0,23.0,-27.0,994.0,0.1848204000000001
6.9,177.0,35.0,-27.0,986.0,0.19168740000000026
6.92,177.0,31.0,-27.0,990.0,0.19776960000000013
6.94,176.0,23.0,-35.0,994.0,0.20228220000000025
6.96,177.0,39.0,-23.0,994.0,0.2099340000000001
6.98,177.0,19.0,-19.0,998.0,0.21366180000000018
7.0,177.0,35.0,-27.0,986.0,0.22052880000000002
7.02,176.0,23.0,-23.0,982.0,0.22504139999999992
7.04,176.0,31.0,-31.0,994.0,0.23112360000000007
7.06,177.0,31.0,-27.0,994.0,0.23720579999999994
7.08,177.0,23.0,-23.0,990.0,0.24171840000000006
7.1,177.0,31.0,-23.0,982.0,0.24780059999999993
7.12,177.0,31.0,-19.0,982.0,0.2538828000000001
7.14,177.0,23.0,-27.0,1002.0,0.2583954
7.16,176.0,35.0,-23.0,994.0,0.2652624000000002
7.18,177.0,23.0,-27.0,982.0,0.2697750000000001
7.2,177.0,27.0,-23.0,994.0,0.2750724000000002
7.22,176.0,39.0,-19.0,986.0,0.28272420000000004
7.24,177.0,19.0,-27.0,998.0,0.2864520000000001
7.26,177.0,31.0,-27.0,990.0,0.29253419999999997
7.28,177.0,27.0,-31.0,994.0,0.2978316000000001
7.3,177.0,23.0,-31.0,998.0,0.3023442
7.32,177.0,35.0,-23.0,982.0,0.3092112000000002
7.34,176.0,23.0,-27.0,990.0,0.3137238000000001
7.36,177.0,35.0,-23.0,994.0,0.3205908000000003
7.38,177.0,35.0,-27.0,990.0,0.32745780000000013
7.4,178.0,27.0,-27.0,990.0,0.33275520000000025
7.42,177.0,27.0,-27.0,990.0,0.33805260000000015
7.44,177.0,31.0,-23.0,982.0,0.3441348000000003
7.46,177.0,23.0,-27.0,982.0,0.3486474000000002
7.48,177.0,31.0,-23.0,990.0,0.35472960000000037
7.5,177.0,19.0,-23.0,990.0,0.3584574000000003
7.52,177.0,31.0,-23.0,986.0,0.3645396000000002
7.54,177.0,23.0,-27.0,990.0,0.3690522000000003
7.56,177.0,27.0,-27.0,994.0,0.37434960000000017
7.58,177.0,35.0,-23.0,994.0,0.38121660000000035
7.6,177.0,31.0,-27.0,998.0,0.3872988000000002
7.62,178.0,27.0,-27.0,1002.0,0.39259620000000034
7.64,177.0,35.0,-23.0,986.0,0.3994632000000002
7.66,177.0,27.0,-19.0,990.0,0.4047606000000003
7.68,177.0,35.0,-23.0,990.0,0.41162760000000015
7.7,177.0,27.0,-27.0,986.0,0.41692500000000027
7.72,177.0,27.0,-23.0,994.0,0.42222240000000016
7.74,177.0,31.0,-23.0,994.0,0.4283046000000003
7.76,177.0,23.0,-23.0,994.0,0.43281720000000024
7.78,177.0,31.0,-27.0,990.0,0.4388994000000004
7.8,177.0,35.0,-31.0,986.0,0.44576640000000023
7.82,177.0,27.0,-27.0,990.0,0.45106380000000035
7.84,177.0,31.0,-31.0,990.0,0.4571460000000002
7.86,176.0,31.0,-27.0,986.0,0.46322820000000037
7.88,176.0,39.0,-27.0,998.0,0.4708800000000002
7.9,177.0,42.0,-27.0,986.0,0.4791204000000004
7.92,177.0,23.0,-27.0,994.0,0.4836330000000003
7.94,177.0,35.0,-27.0,990.0,0.4905000000000005
7.96,177.0,27.0,-23.0,990.0,0.4957974000000004
7.98,177.0,27.0,-31.0,998.0,0.5010948000000005
8.0,177.0,31.0,-31.0,982.0,0.5071770000000003
8.02,178.0,31.0,-23.0,994.0,0.5132592000000001
8.04,177.0,35.0,-27.0,998.0,0.5201262
8.06,177.0,31.0,-31.0,986.0,0.5262084000000004
8.08,177.0,35.0,-27.0,998.0,0.5330754000000002
8.1,177.0,35.0,-27.0,982.0,0.5399424
8.12,177.0,31.0,-27.0,998.0,0.5460245999999999
8.14,177.0,23.0,-23.0,994.0,0.5505372000000002
8.16,177.0,31.0,-31.0,986.0,0.5566194
8.18,177.0,23.0,-31.0,990.0,0.5611319999999999
8.2,177.0,35.0,-23.0,994.0,0.5679989999999997
8.22,177.0,23.0,-19.0,990.0,0.5725116
8.24,177.0,31.0,-27.0,990.0,0.5785937999999998
8.26,177.0,31.0,-27.0,994.0,0.5846759999999996
8.28,178.0,31.0,-23.0,990.0,0.5907581999999995
8.3,178.0,35.0,-23.0,994.0,0.5976252
8.32,176.0,31.0,-27.0,982.0,0.6037073999999998
8.34,176.0,23.0,-19.0,998.0,0.6082199999999996
8.36,176.0,35.0,-23.0,1002.0,0.6150869999999995
8.38,177.0,35.0,-23.0,990.0,0.621954
8.4,177.0,27.0,-27.0,990.0,0.6272513999999999
8.42,177.0,31.0,-27.0,994.0,0.6333335999999997
8.44,177.0,19.0,-31.0,998.0,0.6370613999999997
8.46,177.0,35.0,-23.0,990.0,0.6439284000000002
8.48,177.0,31.0,-27.0,990.0,0.6500106
8.5,176.0,27.0,-15.0,986.0,0.6553079999999999
8.52,177.0,42.0,-27.0,986.0,0.6635483999999997
8.54,177.0,27.0,-19.0,1002.0,0.6688457999999996
8.56,176.0,27.0,-27.0,998.0,0.6741431999999999
8.58,176.0,35.0,-23.0,978.0,0.6810101999999998
